Produkt,item_id,Prumerna cena
Radmin 3  - 522 лиц.,6066,307980.0
Коллекционные шахматы (Властелин Колец),13199,50999.0
UserGate Proxy & Firewall 6.X с модулем фильтрации сайтов Entensys URL Filtering до 200 сессий (Academic/Social),7241,49782.0
UserGate Proxy & Firewall 6.X до 100 сессий,7238,42000.0
Лицензия 1С-Битрикс: Управление сайтом - Эксперт,14173,40900.0
"Комплект ""Microsoft Xbox One 1TB  Limited Edition Halo 5 + ""Halo 5. Limited Edition"" [KF6-00012]",13403,39990.5
Photoshop 13 Windows Russian BOX,5748,35132.86
Комплект «Sony PlayStation 4 (1Tb) Black (CUH-1208B)» + игра «Assassin's Creed: Синдикат» + игра «Watch_Dogs»,13503,34990.0
Комплект Sony PlayStation 4 (1Tb) Black (CUH-1208B) + игра Uncharted: Натан Дрейк. Коллекция,13448,34823.33
CorelDRAW Graphics Suite X6 - Small Business Edition Russian BOX,2410,34713.5
