item_name,item_id,abc,xyz,revenue
"Uncharted: Натан Дрейк. Коллекция [PS4, русская версия]",7223,A,X,3178372.1
"Assassin's Creed: Синдикат. Специальное издание [PS4, русская версия]",1583,A,X,2584789.88
"Uncharted: Натан Дрейк. Коллекция. Специальное издание [PS4, русская версия]",7224,A,X,2256936.0
"Assassin's Creed: Синдикат. Биг Бен [PS4, русская версия]",1578,A,X,2085006.25
"Halo 5: Guardians. Коллекционное издание [Xbox One, русская версия] (CV4-00014)",3838,A,X,1489156.0
"Ведьмак 3: Дикая Охота - Дополнение ""Каменные Сердца"" (код загрузки, без диска) [PS4, русская версия]",10202,A,X,1045725.15
"Ведьмак 3: Дикая Охота - Дополнение ""Каменные Сердца"" (код загрузки, без диска) [PC, русская версия]",10201,A,X,1031492.8
Комплект Sony PlayStation 4 (500 Gb) Black (CUH-1208A/B01) + Дополнительный контроллер черный,13449,A,X,1028598.0
"Assassin's Creed: Синдикат. Чаринг-Кросс [PS4, русская версия]",1586,A,X,868142.78
"Guitar Hero Live (Гитара + игра) [PS4, английская версия]",3756,A,X,758380.0
