item_name,item_id,abc,xyz,revenue
Музыкальная шкатулка/LOVE STORY,15199,C,Z,47359.0
ZZ TOP  Greatest Hits,8031,C,Z,47341.2
БЕГЛЕЦЫ (регион),8701,C,Z,47338.3
МАРА  Почувствуй разницу  Live  2CD+DVD (фирм.),14359,C,Z,47317.0
STING  Ten Summoner`s Tales  LP,6350,C,Z,47306.0
Жетоны Wolfenstein The New Order Dogtag Blazkowicz,11542,C,Z,47286.7
ОДНАЖДЫ В ИРЛАНДИИ (BD),16515,C,Z,47284.41
PS4: Наушники с микрофоном Tritton Kama Stereo Headset - Black PS4/PS Vita,5676,C,Z,47229.5
HELLOWEEN  Straight Out Of Hell,3788,C,Z,47225.0
"Государственные и муниципальные учреждения: учет в 1С:БГУ 8. Е.А.Кадыш, С.Ю.Рыженкова, К.В.Сергеева",10697,C,Z,47200.0
